차례	항목	풀이	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
36118	정교해지다	精巧-	동	2 	2 	0 	0 	1 	0 	1 	0 	0 	0 	0 
53203	정교회	正敎會	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
36119	정구04	庭球	명	2 	2 	0 	1 	0 	1 	0 	0 	0 	0 	0 
53204	정구장	庭球場	명	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
53205	정구품	正九品	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
4158	정국01	政局	명	47 	22 	0 	0 	2 	1 	33 	6 	0 	0 	5 
12847	정궁80	正宮	명	11 	2 	0 	0 	11 	0 	0 	0 	0 	0 	0 
1119	정권04	政權	명	205 	42 	0 	3 	17 	13 	136 	33 	0 	1 	2 
53206	정권기	政權期	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
19380	정권론	政權論	명	6 	1 	0 	0 	6 	0 	0 	0 	0 	0 	0 
24669	정권설	政權說	명	4 	1 	0 	0 	4 	0 	0 	0 	0 	0 	0 
53207	정권적	政權的	관	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
7615	정규01	正規	명	22 	11 	0 	0 	2 	2 	16 	1 	0 	0 	1 
36120	정규군	正規軍	명	2 	1 	0 	0 	0 	0 	2 	0 	0 	0 	0 
53208	정규직	定規職	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
53209	정규직화	定規職化	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
53210	정근06	精勤	명	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
17551	정글	jungle	명	7 	6 	2 	0 	0 	3 	2 	0 	0 	0 	0 
53211	정금나무		명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
3497	정기07	定期	명	58 	25 	1 	0 	1 	4 	35 	16 	0 	1 	0 
19381	정기12	精氣	명	6 	5 	0 	0 	1 	2 	1 	2 	0 	0 	0 
7616	정기적	定期的	명	22 	16 	0 	5 	1 	2 	7 	7 	0 	0 	0 
53212	정기전	定期戰	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
36121	정나미	情-	명	2 	2 	0 	0 	1 	1 	0 	0 	0 	0 	0 
53213	정낭02	精囊	명	1 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 
