차례	항목	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
144	부텀	조	4 	2 	0 	0 	0 	3 	0 	0 	1 	0 	0 
145	서껀	조	4 	3 	0 	0 	0 	4 	0 	0 	0 	0 	0 
146	우	관	4 	2 	0 	0 	0 	0 	0 	0 	3 	0 	1 
147	이래	주	4 	2 	0 	0 	0 	0 	0 	0 	4 	0 	0 
148	인즉슨	조	4 	3 	0 	0 	1 	0 	0 	3 	0 	0 	0 
149	한테로	부	4 	3 	0 	0 	1 	2 	0 	1 	0 	0 	0 
150	마따나	부	3 	3 	0 	0 	0 	1 	0 	1 	0 	0 	1 
151	사	조	3 	3 	0 	0 	0 	2 	0 	0 	1 	0 	0 
152	이구	접	3 	2 	0 	0 	0 	2 	0 	0 	1 	0 	0 
153	입죠	조	3 	1 	0 	0 	0 	3 	0 	0 	0 	0 	0 
154	하구	부	3 	2 	0 	0 	0 	1 	0 	0 	2 	0 	0 
155	헌테	부	3 	1 	0 	0 	0 	0 	0 	0 	3 	0 	0 
156	꺼정	조	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
157	께옵서	주	2 	2 	0 	0 	0 	1 	0 	0 	1 	0 	0 
158	덜	조	2 	2 	0 	0 	0 	1 	0 	0 	1 	0 	0 
159	손	조	2 	1 	2 	0 	0 	0 	0 	0 	0 	0 	0 
160	얼	목	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
161	이사	조	2 	1 	0 	0 	0 	0 	0 	0 	2 	0 	0 
162	이시여	호	2 	2 	0 	0 	1 	0 	1 	0 	0 	0 	0 
163	입쇼	조	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
164	헌티	부	2 	1 	0 	0 	0 	0 	0 	0 	2 	0 	0 
165	게	부	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
166	게서	부	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
167	구	접	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
168	그랴	조	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
169	꼬	인	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
170	ㄴ커녕	조	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
171	ㄹ랑은	조	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
172	라야만	조	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
173	마동	부	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
174	맨치로	부	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
175	보구	부	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
176	보담	부	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
177	부덤	부	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
178	시여	호	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
179	었	지	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 
180	엔들	조	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
181	이라두	조	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
182	하구	접	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
183	한티	부	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
184	허고	부	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
