차례	항목	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
535	자니까	종	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
135	자마자	연	115 	59 	10 	6 	6 	34 	9 	30 	7 	3 	10 
697	자며	연	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
111	자면	연	227 	66 	6 	4 	81 	58 	34 	24 	1 	4 	15 
698	쟈	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
377	쟤	종	5 	1 	0 	0 	0 	0 	0 	0 	5 	0 	0 
536	제	연	2 	1 	0 	0 	0 	0 	0 	0 	2 	0 	0 
333	제	종	7 	6 	0 	0 	3 	3 	0 	0 	0 	0 	1 
537	제라	종	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
67	죠	종	769 	82 	110 	14 	60 	283 	8 	99 	73 	115 	7 
408	쥬	종	4 	2 	0 	0 	0 	2 	0 	0 	2 	0 	0 
14	지	연	12,144 	175 	663 	715 	2,703 	3,093 	1,980 	1,741 	264 	287 	698 
44	지	종	1,718 	97 	102 	78 	89 	573 	6 	80 	226 	469 	95 
409	지라	종	4 	2 	0 	0 	0 	3 	0 	0 	1 	0 	0 
538	지러	종	2 	2 	0 	0 	0 	1 	0 	1 	0 	0 	0 
699	지롱	종	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
217	지마는	연	22 	10 	0 	0 	2 	2 	0 	1 	1 	16 	0 
25	지만	연	4,075 	160 	230 	157 	986 	955 	631 	718 	57 	71 	270 
378	지만서도	연	5 	2 	0 	0 	0 	4 	0 	0 	0 	0 	1 
539	지만서두	연	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
700	지비	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
701	지예	종	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
57	지요	종	1,071 	84 	280 	42 	93 	450 	15 	62 	19 	61 	49 
702	지유	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
