차례	항목	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
246	노	종	15 	10 	0 	2 	1 	3 	0 	1 	2 	1 	5 
469	노니	연	2 	2 	0 	0 	1 	0 	0 	0 	0 	0 	1 
167	노라	종	60 	26 	15 	1 	7 	20 	2 	9 	0 	0 	6 
316	노라고	연	7 	5 	0 	0 	0 	3 	1 	3 	0 	0 	0 
294	노라니	연	9 	4 	0 	0 	0 	7 	0 	2 	0 	0 	0 
414	노라니까	연	3 	3 	1 	0 	0 	1 	0 	0 	0 	0 	1 
197	노라면	연	30 	20 	1 	0 	4 	4 	5 	8 	2 	0 	6 
565	노사다	종	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
566	놋다	종	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
470	뇨	종	2 	1 	0 	0 	0 	0 	0 	0 	0 	0 	2 
471	누	종	2 	2 	0 	0 	0 	2 	0 	0 	0 	0 	0 
361	누나	종	5 	3 	0 	1 	0 	0 	0 	0 	1 	0 	3 
72	느냐	종	614 	119 	32 	19 	111 	124 	117 	120 	25 	17 	49 
259	느냐고	종	14 	6 	0 	0 	0 	12 	0 	2 	0 	0 	0 
472	느뇨	종	2 	2 	0 	0 	2 	0 	0 	0 	0 	0 	0 
188	느니	연	36 	26 	5 	2 	7 	6 	10 	1 	1 	2 	2 
473	느니라	종	2 	2 	0 	0 	1 	0 	0 	0 	0 	0 	1 
415	느니만	연	3 	3 	0 	0 	0 	1 	1 	1 	0 	0 	0 
134	느라	연	116 	53 	2 	5 	13 	45 	22 	20 	2 	1 	6 
139	느라고	연	108 	45 	24 	4 	8 	37 	2 	7 	5 	0 	21 
3	는	관	60,551 	175 	2,620 	3,689 	17,849 	10,470 	11,077 	8,994 	1,653 	1,573 	2,626 
52	는가	종	1,328 	126 	32 	227 	423 	183 	180 	155 	12 	17 	99 
474	는감	종	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
191	는걸	종	34 	22 	8 	3 	2 	16 	1 	0 	0 	0 	4 
382	는고	종	4 	4 	0 	0 	1 	2 	0 	0 	0 	0 	1 
567	는공	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
475	는교	종	2 	1 	0 	0 	0 	0 	0 	0 	2 	0 	0 
156	는구나	종	81 	37 	3 	10 	6 	25 	0 	6 	2 	6 	23 
416	는구려	종	3 	2 	0 	0 	0 	1 	0 	0 	0 	0 	2 
476	는구만	종	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
276	는구먼	종	11 	9 	0 	0 	0 	5 	0 	0 	3 	1 	2 
169	는군	종	56 	29 	18 	3 	5 	24 	0 	2 	0 	0 	4 
